source_row	name	source_category	source_subcategory	tool_url	publication_url	year	programming_language	proposed_primary_function	proposed_platforms	proposed_analysis_types	proposed_interfaces	proposed_resource_type	flags
103	MassSpecGym	Benchmark/Dataset		https://github.com/pluskal-lab/MassSpecGym	https://arxiv.org/html/2410.23326v1	2024	Python	annotation_identification	platform_independent		python_package	data_repository	
113	DNNpwa‑TL	RT		NA	https://pubs.acs.org/doi/full/10.1021/acs.analchem.1c03250	2021	Python	annotation_identification	lc_ms		python_package	programming_package	
117	Scannotation	Annotation	Workflow tools	https://github.com/scannotation/Scannotation_software	https://pubs.acs.org/doi/abs/10.1021/acs.est.3c04764	2023	Standalone	annotation_identification	lc_ms	exposomics	command_line	software_application	
121	SpatialMETA	Imaging MS		https://github.com/WanluLiuLab/SpatialMETA	https://www.nature.com/articles/s41467-025-63915-z#Abs1	2025	Python	annotation_identification	imaging_ms	spatial_metabolomics;multiomics	python_package	programming_package	
124	MS2Mol	Annotation	De Novo Generation	https://doi.org/10.26434/chemrxiv-2023-vsmpx-v3	https://chemrxiv.org/engage/chemrxiv/article-details/6492507524989702c2b082fc	2023	Python	annotation_identification	platform_independent		python_package	database_knowledgebase	
134	LipidOracle	Lipidomics		https://hub.docker.com/r/zambonilab/lipidoracle	https://chemrxiv.org/engage/chemrxiv/article-details/68208af7927d1c2e661238ab	2025	Python, Docker	annotation_identification	lc_ms	lipidomics	python_package	workflow_pipeline	
145	METASPACE-ML	Imaging MS		https://github.com/metaspace2020/metaspace	https://www.nature.com/articles/s41467-024-52213-9	2024	TypeScript, Python, Vue, SCSS, JavaScript, Shell	annotation_identification	imaging_ms	spatial_metabolomics	python_package	programming_package	
153	COSMIC	Annotation	Molecular library retrieval	https://bio.informatik.uni-jena.de/cosmic/	https://www.nature.com/articles/s41587-021-01045-9	2022	Java	annotation_identification	platform_independent	untargeted		database_knowledgebase	
155	FSA	Annotation	Molecular formula prediction	https://github.com/kslynn128171/FSA	https://www.researchsquare.com/article/rs-7764688/v1	2025	MATLAB, Python	annotation_identification	lc_ms	untargeted	python_package;matlab	programming_package	
156	EISA-EXPOSOME	Exposomics		https://github.com/Lab-XUE/EISA-EXPOSOME	https://pubs.acs.org/doi/abs/10.1021/acs.analchem.3c02697	2023	R	annotation_identification	platform_independent	exposomics;untargeted	r_package	database_knowledgebase	
160	CCS Predictor 2.0	Ion Mobility MS		https://github.com/facundof2016/CCSP2.0	https://pubs.acs.org/doi/10.1021/acs.analchem.2c03491	2022	Python	annotation_identification	platform_independent		python_package	workflow_pipeline	ion_mobility_platform_dimension;mixed_nmr_mentions
